id,imdb_id,original_language,original_title,popularity,vote_average
862,tt0114709,en,Toy Story,21.946943,7.7
8844,tt0113497,en,Jumanji,17.015539,6.9
15602,tt0113228,en,Grumpier Old Men,11.7129,6.5
31357,tt0114885,en,Waiting to Exhale,3.859495,6.1
11862,tt0113041,en,Father of the Bride Part II,8.387519,5.7
949,tt0113277,en,Heat,17.924927,7.7
11860,tt0114319,en,Sabrina,6.677277,6.2
45325,tt0112302,en,Tom and Huck,2.561161,5.4
9091,tt0114576,en,Sudden Death,5.23158,5.5
710,tt0113189,en,GoldenEye,14.686036,6.6
9087,tt0112346,en,The American President,6.318445,6.5
12110,tt0112896,en,Dracula: Dead and Loving It,5.430331,5.7
21032,tt0112453,en,Balto,12.140733,7.1
10858,tt0113987,en,Nixon,5.092,7.1
1408,tt0112760,en,Cutthroat Island,7.284477,5.7
524,tt0112641,en,Casino,10.137389,7.8
4584,tt0114388,en,Sense and Sensibility,10.673167,7.2
5,tt0113101,en,Four Rooms,9.026586,6.5
9273,tt0112281,en,Ace Ventura: When Nature Calls,8.205448,6.1
11517,tt0113845,en,Money Train,7.337906,5.4
8012,tt0113161,en,Get Shorty,12.669608,6.4
1710,tt0112722,en,Copycat,10.701801,6.5
9691,tt0112401,en,Assassins,11.065939,6
12665,tt0114168,en,Powder,12.133094,6.3
451,tt0113627,en,Leaving Las Vegas,10.332025,7.1
16420,tt0114057,en,Othello,1.845899,7
9263,tt0114011,en,Now and Then,8.681325,6.6
17015,tt0114117,en,Persuasion,2.228434,7.4
902,tt0112682,fr,La Cité des Enfants Perdus,9.822423,7.6
37557,tt0115012,zh,摇啊摇，摇到外婆桥,1.100915,6.5
9909,tt0112792,en,Dangerous Minds,9.481338,6.4
63,tt0114746,en,Twelve Monkeys,12.297305,7.4
78802,tt0114952,fr,"Guillaumet, les ailes du courage",0.745542,6.8
9598,tt0112431,en,Babe,14.404764,6
47018,tt0112637,en,Carrington,1.493361,6.4
687,tt0112818,en,Dead Man Walking,6.891317,7.3
139405,tt0112286,en,Across the Sea of Time,0.114469,3.5
33689,tt0113442,en,It Takes Two,7.777735,6.1
9603,tt0112697,en,Clueless,9.882383,6.9
34615,tt0112749,en,"Cry, the Beloved Country",0.894647,6.7
31174,tt0114279,en,Richard III,4.561387,6.9
11443,tt0112819,en,Dead Presidents,9.87957,6.6
35196,tt0114272,en,Restoration,10.979269,6.3
9312,tt0113855,en,Mortal Kombat,10.870138,5.4
577,tt0114681,en,To Die For,10.448481,6.7
11861,tt0113347,en,How To Make An American Quilt,4.485958,6.5
807,tt0114369,en,Se7en,18.45743,8.1
10530,tt0114148,en,Pocahontas,13.280069,6.7
8391,tt0114916,en,When Night Is Falling,3.302524,5.9
629,tt0114814,en,The Usual Suspects,16.302466,8.1
117164,tt0109950,en,Guardian Angel,0.595949,6.3
11448,tt0113819,en,Mighty Aphrodite,15.899134,6.7
49133,tt0110299,it,Lamerica,1.361286,7.7
26441,tt0112499,en,The Big Green,5.982764,5.2
97406,tt0113158,en,Georgia,4.093443,6.1
124057,tt0113541,en,Kids of the Round Table,0.307075,3
9089,tt0113321,en,Home for the Holidays,8.416802,6.3
11010,tt0110877,it,Il postino,10.168437,7.6
99040,tt0112714,fr,Le confessionnal,0.120789,6.5
11359,tt0113419,en,The Indian in the Cupboard,10.673296,5.9
17182,tt0116260,en,Eye for an Eye,4.733526,5.8
2054,tt0113862,en,Mr. Holland's Opus,7.137117,6.9
10607,tt0116126,en,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,11.700115,6.2
19760,tt0118002,en,Two If by Sea,2.174487,4.5
9536,tt0115683,en,Bio-Dome,6.387469,4.4
11525,tt0116839,en,Lawnmower Man 2: Beyond Cyberspace,2.49535,2.8
40628,tt0114753,en,Two Bits,4.046208,5.4
4482,tt0113149,fr,Gazon maudit,2.518051,6
10634,tt0113118,en,Friday,14.56965,7
755,tt0116367,en,From Dusk Till Dawn,15.339153,6.9
11859,tt0113010,en,Fair Game,5.912223,4.1
28387,tt0113537,en,Kicking and Screaming,3.367276,7
